timestamp,temperature,gpu_util,mem_util,memory_used,power_draw,sm_clock,pstate
2026/02/10 12:24:24.021,41,0,0,7,10.14,300,P8
2026/02/10 12:24:25.082,41,0,0,7,9.94,300,P8
2026/02/10 12:24:26.157,41,0,0,7,9.95,300,P8
2026/02/10 12:24:27.233,41,0,0,7,11.99,300,P8
2026/02/10 12:24:28.305,41,0,0,7,9.95,300,P8
2026/02/10 12:24:29.362,41,0,0,7,9.93,300,P8
2026/02/10 12:24:30.437,41,0,0,7,12.38,300,P8
2026/02/10 12:24:31.510,41,0,0,7,9.95,300,P8
2026/02/10 12:24:32.576,41,0,0,7,9.95,300,P8
2026/02/10 12:24:33.645,41,0,0,7,11.69,300,P8
2026/02/10 12:24:34.712,41,0,0,7,9.95,300,P8
2026/02/10 12:24:35.777,41,0,0,7,9.95,300,P8
2026/02/10 12:24:36.846,41,0,0,7,10.05,300,P8
2026/02/10 12:24:37.913,41,0,0,7,9.95,300,P8
2026/02/10 12:24:38.980,41,0,0,7,9.95,300,P8
2026/02/10 12:24:40.048,41,0,0,7,9.95,300,P8
2026/02/10 12:24:41.118,41,0,0,7,9.95,300,P8
2026/02/10 12:24:42.197,41,0,0,7,9.95,300,P8
2026/02/10 12:24:43.268,41,0,0,7,11.11,300,P8
2026/02/10 12:24:44.344,41,0,0,7,9.95,300,P8
2026/02/10 12:24:45.416,40,0,0,7,9.95,300,P8
2026/02/10 12:24:46.490,41,0,0,7,9.95,300,P8
2026/02/10 12:24:47.562,41,0,0,7,10.24,300,P8
2026/02/10 12:24:48.635,41,0,0,7,9.94,300,P8
2026/02/10 12:24:49.710,41,0,0,7,10.04,300,P8
2026/02/10 12:24:50.788,41,0,0,7,9.95,300,P8
2026/02/10 12:24:51.868,41,0,0,7,9.95,300,P8
2026/02/10 12:24:52.949,41,0,0,7,10.04,300,P8
2026/02/10 12:24:54.028,41,0,0,7,9.95,300,P8
2026/02/10 12:24:55.109,41,0,0,7,9.95,300,P8
2026/02/10 12:24:56.187,41,0,0,7,10.82,300,P8
2026/02/10 12:24:57.266,41,0,0,7,10.15,300,P8
2026/02/10 12:24:58.346,41,0,0,7,10.04,300,P8
2026/02/10 12:24:59.426,41,0,0,7,10.34,300,P8
2026/02/10 12:25:00.495,41,0,0,7,10.62,300,P8
2026/02/10 12:25:01.572,41,0,0,7,9.85,300,P8
2026/02/10 12:25:02.650,41,0,0,7,9.85,300,P8
2026/02/10 12:25:03.723,41,0,0,7,9.95,300,P8
2026/02/10 12:25:04.800,41,0,0,7,11.01,300,P8
2026/02/10 12:25:05.869,41,0,0,7,10.14,300,P8
2026/02/10 12:25:06.947,41,0,0,7,10.33,300,P8
2026/02/10 12:25:08.013,41,0,0,7,11.31,300,P8
2026/02/10 12:25:09.092,41,0,0,7,9.95,300,P8
2026/02/10 12:25:10.171,41,0,0,7,10.15,300,P8
2026/02/10 12:25:11.251,41,0,0,7,10.15,300,P8
2026/02/10 12:25:12.321,41,0,0,7,11.02,300,P8
2026/02/10 12:25:13.390,41,0,0,7,10.05,300,P8
2026/02/10 12:25:14.459,41,0,0,7,9.95,300,P8
2026/02/10 12:25:15.538,41,0,0,7,10.24,300,P8
2026/02/10 12:25:16.607,41,0,0,7,10.15,300,P8
2026/02/10 12:25:17.675,41,0,0,7,9.93,300,P8
2026/02/10 12:25:18.744,41,0,0,7,10.72,300,P8
2026/02/10 12:25:19.817,41,0,0,7,10.72,300,P8
2026/02/10 12:25:20.884,41,0,0,7,10.14,300,P8
2026/02/10 12:25:21.946,41,0,0,7,9.95,300,P8
2026/02/10 12:25:23.012,41,0,0,7,10.14,300,P8
2026/02/10 12:25:24.077,41,0,0,7,9.95,300,P8
